Question,Hint,Answer
What does SaaS usually leave the customer responsible for?,Think the provider manages most infrastructure; the customer still controls how they use the service.,"Customers commonly remain responsible for accounts, data, permissions, configuration, and appropriate use/security controls."
What does IaaS usually leave the customer responsible for?,Think renting the infrastructure doesn't mean the provider manages your OS.,"The customer commonly manages the guest OS, applications, data, identities, and many security configurations."
What does PaaS usually shift away from the customer?,Think the platform provider handles more of the underlying environment.,The provider manages more infrastructure and platform components while the customer focuses on applications/data and configuration.
What is a security group versus a network ACL in cloud networking?,"Think resource-level stateful rules versus subnet/network-level controls, depending on provider.",Security groups commonly provide resource/interface-level traffic controls; network ACLs generally apply at a subnet/network boundary. Exact behavior varies by provider.
What is a bastion/jump host useful for?,Think a controlled entry point to private servers.,A bastion host provides a hardened administrative access point into a protected network.
What is a VPN versus a bastion host?,One creates a network path; the other is an administrative endpoint.,A VPN provides secure network connectivity; a bastion host provides a controlled system through which administrators can access protected systems.
What is SSH port 22 useful for in troubleshooting?,Think securely testing remote command-line access.,Testing TCP 22 can help determine whether an SSH service is reachable and listening.
What is HTTP status code 404?,"Think the server answered, but the requested resource wasn't found.",404 means the requested resource was not found.
What is HTTP status code 403?,Think the server understood the request but won't allow access.,403 means access to the requested resource is forbidden.
What is HTTP status code 500?,Think a server-side application error.,500 indicates an internal server error.
What is HTTP status code 502?,Think a gateway/proxy received a bad response from an upstream server.,502 indicates Bad Gateway.
